type,route_name,origin,destination,time,distance,CO2,price,olon,olat,dlon,dlat
road,Portland-Phoenix,Portland,Phoenix,24.759777777777774,2144.6613,257.359356,107.23306500000001,-122.674194,45.5202471,-112.074141,33.4484367
road,Phoenix-Portland,Phoenix,Portland,24.759777777777774,2144.6613,257.359356,107.23306500000001,-112.074141,33.4484367,-122.674194,45.5202471
road,Baltimore-Phoenix,Baltimore,Phoenix,41.447472222222224,3666.0467,439.92560399999996,183.302335,-76.610759,39.2908816,-112.074141,33.4484367
road,Phoenix-Baltimore,Phoenix,Baltimore,41.447472222222224,3666.0467,439.92560399999996,183.302335,-112.074141,33.4484367,-76.610759,39.2908816
road,Louisville-Phoenix,Louisville,Phoenix,30.71013888888889,2765.7674,331.892088,138.28837000000001,-85.759407,38.2542376,-112.074141,33.4484367
road,Phoenix-Louisville,Phoenix,Louisville,30.71013888888889,2765.7674,331.892088,138.28837000000001,-112.074141,33.4484367,-85.759407,38.2542376
road,San Diego-Phoenix,San Diego,Phoenix,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-117.162772,32.7174202,-112.074141,33.4484367
road,Phoenix-San Diego,Phoenix,San Diego,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-112.074141,33.4484367,-117.162772,32.7174202
road,Austin-Phoenix,Austin,Phoenix,17.16863888888889,1619.9175,194.3901,80.99587500000001,-97.7436995,30.2711286,-112.074141,33.4484367
road,Phoenix-Austin,Phoenix,Austin,17.16863888888889,1619.9175,194.3901,80.99587500000001,-112.074141,33.4484367,-97.7436995,30.2711286
road,Charlotte-Phoenix,Charlotte,Phoenix,36.91038888888889,3371.132,404.53584,168.5566,-80.8430827,35.2272086,-112.074141,33.4484367
road,Phoenix-Charlotte,Phoenix,Charlotte,36.91038888888889,3371.132,404.53584,168.5566,-112.074141,33.4484367,-80.8430827,35.2272086
road,Indianapolis-Phoenix,Indianapolis,Phoenix,30.465,2737.4667000000004,328.496004,136.87333500000003,-86.1583502,39.7683331,-112.074141,33.4484367
road,Phoenix-Indianapolis,Phoenix,Indianapolis,30.465,2737.4667000000004,328.496004,136.87333500000003,-112.074141,33.4484367,-86.1583502,39.7683331
road,Seattle-Phoenix,Seattle,Phoenix,26.478,2240.4185,268.85022000000004,112.02092500000002,-122.330062,47.6038321,-112.074141,33.4484367
road,Phoenix-Seattle,Phoenix,Seattle,26.478,2240.4185,268.85022000000004,112.02092500000002,-112.074141,33.4484367,-122.330062,47.6038321
road,Boston-Phoenix,Boston,Phoenix,48.16127777777778,4244.3421,509.32105199999995,212.217105,-71.060511,42.3554334,-112.074141,33.4484367
road,Phoenix-Boston,Phoenix,Boston,48.16127777777778,4244.3421,509.32105199999995,212.217105,-112.074141,33.4484367,-71.060511,42.3554334
road,Nashville-Phoenix,Nashville,Phoenix,29.02738888888889,2636.9768,316.437216,131.84884,-86.7742984,36.1622767,-112.074141,33.4484367
road,Phoenix-Nashville,Phoenix,Nashville,29.02738888888889,2636.9768,316.437216,131.84884,-112.074141,33.4484367,-86.7742984,36.1622767
road,Portland-Phoenix,Portland,Phoenix,24.759777777777774,2144.6613,257.359356,107.23306500000001,-122.674194,45.5202471,-112.074141,33.4484367
road,Phoenix-Portland,Phoenix,Portland,24.759777777777774,2144.6613,257.359356,107.23306500000001,-112.074141,33.4484367,-122.674194,45.5202471
road,Baltimore-Phoenix,Baltimore,Phoenix,41.447472222222224,3666.0467,439.92560399999996,183.302335,-76.610759,39.2908816,-112.074141,33.4484367
road,Phoenix-Baltimore,Phoenix,Baltimore,41.447472222222224,3666.0467,439.92560399999996,183.302335,-112.074141,33.4484367,-76.610759,39.2908816
road,Louisville-Phoenix,Louisville,Phoenix,30.71013888888889,2765.7674,331.892088,138.28837000000001,-85.759407,38.2542376,-112.074141,33.4484367
road,Phoenix-Louisville,Phoenix,Louisville,30.71013888888889,2765.7674,331.892088,138.28837000000001,-112.074141,33.4484367,-85.759407,38.2542376
road,San Diego-Phoenix,San Diego,Phoenix,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-117.162772,32.7174202,-112.074141,33.4484367
road,Phoenix-San Diego,Phoenix,San Diego,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-112.074141,33.4484367,-117.162772,32.7174202
road,Austin-Phoenix,Austin,Phoenix,17.16863888888889,1619.9175,194.3901,80.99587500000001,-97.7436995,30.2711286,-112.074141,33.4484367
road,Phoenix-Austin,Phoenix,Austin,17.16863888888889,1619.9175,194.3901,80.99587500000001,-112.074141,33.4484367,-97.7436995,30.2711286
road,Charlotte-Phoenix,Charlotte,Phoenix,36.91038888888889,3371.132,404.53584,168.5566,-80.8430827,35.2272086,-112.074141,33.4484367
road,Phoenix-Charlotte,Phoenix,Charlotte,36.91038888888889,3371.132,404.53584,168.5566,-112.074141,33.4484367,-80.8430827,35.2272086
road,Indianapolis-Phoenix,Indianapolis,Phoenix,30.465,2737.4667000000004,328.496004,136.87333500000003,-86.1583502,39.7683331,-112.074141,33.4484367
road,Phoenix-Indianapolis,Phoenix,Indianapolis,30.465,2737.4667000000004,328.496004,136.87333500000003,-112.074141,33.4484367,-86.1583502,39.7683331
road,Seattle-Phoenix,Seattle,Phoenix,26.478,2240.4185,268.85022000000004,112.02092500000002,-122.330062,47.6038321,-112.074141,33.4484367
road,Phoenix-Seattle,Phoenix,Seattle,26.478,2240.4185,268.85022000000004,112.02092500000002,-112.074141,33.4484367,-122.330062,47.6038321
road,Boston-Phoenix,Boston,Phoenix,48.16127777777778,4244.3421,509.32105199999995,212.217105,-71.060511,42.3554334,-112.074141,33.4484367
road,Phoenix-Boston,Phoenix,Boston,48.16127777777778,4244.3421,509.32105199999995,212.217105,-112.074141,33.4484367,-71.060511,42.3554334
road,Nashville-Phoenix,Nashville,Phoenix,29.02738888888889,2636.9768,316.437216,131.84884,-86.7742984,36.1622767,-112.074141,33.4484367
road,Phoenix-Nashville,Phoenix,Nashville,29.02738888888889,2636.9768,316.437216,131.84884,-112.074141,33.4484367,-86.7742984,36.1622767
road,Portland-Phoenix,Portland,Phoenix,24.759777777777774,2144.6613,257.359356,107.23306500000001,-122.674194,45.5202471,-112.074141,33.4484367
road,Phoenix-Portland,Phoenix,Portland,24.759777777777774,2144.6613,257.359356,107.23306500000001,-112.074141,33.4484367,-122.674194,45.5202471
road,Baltimore-Phoenix,Baltimore,Phoenix,41.447472222222224,3666.0467,439.92560399999996,183.302335,-76.610759,39.2908816,-112.074141,33.4484367
road,Phoenix-Baltimore,Phoenix,Baltimore,41.447472222222224,3666.0467,439.92560399999996,183.302335,-112.074141,33.4484367,-76.610759,39.2908816
road,Louisville-Phoenix,Louisville,Phoenix,30.71013888888889,2765.7674,331.892088,138.28837000000001,-85.759407,38.2542376,-112.074141,33.4484367
road,Phoenix-Louisville,Phoenix,Louisville,30.71013888888889,2765.7674,331.892088,138.28837000000001,-112.074141,33.4484367,-85.759407,38.2542376
road,San Diego-Phoenix,San Diego,Phoenix,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-117.162772,32.7174202,-112.074141,33.4484367
road,Phoenix-San Diego,Phoenix,San Diego,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-112.074141,33.4484367,-117.162772,32.7174202
road,Austin-Phoenix,Austin,Phoenix,17.16863888888889,1619.9175,194.3901,80.99587500000001,-97.7436995,30.2711286,-112.074141,33.4484367
road,Phoenix-Austin,Phoenix,Austin,17.16863888888889,1619.9175,194.3901,80.99587500000001,-112.074141,33.4484367,-97.7436995,30.2711286
road,Charlotte-Phoenix,Charlotte,Phoenix,36.91038888888889,3371.132,404.53584,168.5566,-80.8430827,35.2272086,-112.074141,33.4484367
road,Phoenix-Charlotte,Phoenix,Charlotte,36.91038888888889,3371.132,404.53584,168.5566,-112.074141,33.4484367,-80.8430827,35.2272086
road,Indianapolis-Phoenix,Indianapolis,Phoenix,30.465,2737.4667000000004,328.496004,136.87333500000003,-86.1583502,39.7683331,-112.074141,33.4484367
road,Phoenix-Indianapolis,Phoenix,Indianapolis,30.465,2737.4667000000004,328.496004,136.87333500000003,-112.074141,33.4484367,-86.1583502,39.7683331
road,Seattle-Phoenix,Seattle,Phoenix,26.478,2240.4185,268.85022000000004,112.02092500000002,-122.330062,47.6038321,-112.074141,33.4484367
road,Phoenix-Seattle,Phoenix,Seattle,26.478,2240.4185,268.85022000000004,112.02092500000002,-112.074141,33.4484367,-122.330062,47.6038321
road,Boston-Phoenix,Boston,Phoenix,48.16127777777778,4244.3421,509.32105199999995,212.217105,-71.060511,42.3554334,-112.074141,33.4484367
road,Phoenix-Boston,Phoenix,Boston,48.16127777777778,4244.3421,509.32105199999995,212.217105,-112.074141,33.4484367,-71.060511,42.3554334
road,Nashville-Phoenix,Nashville,Phoenix,29.02738888888889,2636.9768,316.437216,131.84884,-86.7742984,36.1622767,-112.074141,33.4484367
road,Phoenix-Nashville,Phoenix,Nashville,29.02738888888889,2636.9768,316.437216,131.84884,-112.074141,33.4484367,-86.7742984,36.1622767
road,Portland-Phoenix,Portland,Phoenix,24.759777777777774,2144.6613,257.359356,107.23306500000001,-122.674194,45.5202471,-112.074141,33.4484367
road,Phoenix-Portland,Phoenix,Portland,24.759777777777774,2144.6613,257.359356,107.23306500000001,-112.074141,33.4484367,-122.674194,45.5202471
road,Baltimore-Phoenix,Baltimore,Phoenix,41.447472222222224,3666.0467,439.92560399999996,183.302335,-76.610759,39.2908816,-112.074141,33.4484367
road,Phoenix-Baltimore,Phoenix,Baltimore,41.447472222222224,3666.0467,439.92560399999996,183.302335,-112.074141,33.4484367,-76.610759,39.2908816
road,Louisville-Phoenix,Louisville,Phoenix,30.71013888888889,2765.7674,331.892088,138.28837000000001,-85.759407,38.2542376,-112.074141,33.4484367
road,Phoenix-Louisville,Phoenix,Louisville,30.71013888888889,2765.7674,331.892088,138.28837000000001,-112.074141,33.4484367,-85.759407,38.2542376
road,San Diego-Phoenix,San Diego,Phoenix,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-117.162772,32.7174202,-112.074141,33.4484367
road,Phoenix-San Diego,Phoenix,San Diego,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-112.074141,33.4484367,-117.162772,32.7174202
road,Austin-Phoenix,Austin,Phoenix,17.16863888888889,1619.9175,194.3901,80.99587500000001,-97.7436995,30.2711286,-112.074141,33.4484367
road,Phoenix-Austin,Phoenix,Austin,17.16863888888889,1619.9175,194.3901,80.99587500000001,-112.074141,33.4484367,-97.7436995,30.2711286
road,Charlotte-Phoenix,Charlotte,Phoenix,36.91038888888889,3371.132,404.53584,168.5566,-80.8430827,35.2272086,-112.074141,33.4484367
road,Phoenix-Charlotte,Phoenix,Charlotte,36.91038888888889,3371.132,404.53584,168.5566,-112.074141,33.4484367,-80.8430827,35.2272086
road,Indianapolis-Phoenix,Indianapolis,Phoenix,30.465,2737.4667000000004,328.496004,136.87333500000003,-86.1583502,39.7683331,-112.074141,33.4484367
road,Phoenix-Indianapolis,Phoenix,Indianapolis,30.465,2737.4667000000004,328.496004,136.87333500000003,-112.074141,33.4484367,-86.1583502,39.7683331
road,Seattle-Phoenix,Seattle,Phoenix,26.478,2240.4185,268.85022000000004,112.02092500000002,-122.330062,47.6038321,-112.074141,33.4484367
road,Phoenix-Seattle,Phoenix,Seattle,26.478,2240.4185,268.85022000000004,112.02092500000002,-112.074141,33.4484367,-122.330062,47.6038321
road,Boston-Phoenix,Boston,Phoenix,48.16127777777778,4244.3421,509.32105199999995,212.217105,-71.060511,42.3554334,-112.074141,33.4484367
road,Phoenix-Boston,Phoenix,Boston,48.16127777777778,4244.3421,509.32105199999995,212.217105,-112.074141,33.4484367,-71.060511,42.3554334
road,Nashville-Phoenix,Nashville,Phoenix,29.02738888888889,2636.9768,316.437216,131.84884,-86.7742984,36.1622767,-112.074141,33.4484367
road,Phoenix-Nashville,Phoenix,Nashville,29.02738888888889,2636.9768,316.437216,131.84884,-112.074141,33.4484367,-86.7742984,36.1622767
road,Portland-Phoenix,Portland,Phoenix,24.759777777777774,2144.6613,257.359356,107.23306500000001,-122.674194,45.5202471,-112.074141,33.4484367
road,Phoenix-Portland,Phoenix,Portland,24.759777777777774,2144.6613,257.359356,107.23306500000001,-112.074141,33.4484367,-122.674194,45.5202471
road,Baltimore-Phoenix,Baltimore,Phoenix,41.447472222222224,3666.0467,439.92560399999996,183.302335,-76.610759,39.2908816,-112.074141,33.4484367
road,Phoenix-Baltimore,Phoenix,Baltimore,41.447472222222224,3666.0467,439.92560399999996,183.302335,-112.074141,33.4484367,-76.610759,39.2908816
road,Louisville-Phoenix,Louisville,Phoenix,30.71013888888889,2765.7674,331.892088,138.28837000000001,-85.759407,38.2542376,-112.074141,33.4484367
road,Phoenix-Louisville,Phoenix,Louisville,30.71013888888889,2765.7674,331.892088,138.28837000000001,-112.074141,33.4484367,-85.759407,38.2542376
road,San Diego-Phoenix,San Diego,Phoenix,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-117.162772,32.7174202,-112.074141,33.4484367
road,Phoenix-San Diego,Phoenix,San Diego,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-112.074141,33.4484367,-117.162772,32.7174202
road,Austin-Phoenix,Austin,Phoenix,17.16863888888889,1619.9175,194.3901,80.99587500000001,-97.7436995,30.2711286,-112.074141,33.4484367
road,Phoenix-Austin,Phoenix,Austin,17.16863888888889,1619.9175,194.3901,80.99587500000001,-112.074141,33.4484367,-97.7436995,30.2711286
road,Charlotte-Phoenix,Charlotte,Phoenix,36.91038888888889,3371.132,404.53584,168.5566,-80.8430827,35.2272086,-112.074141,33.4484367
road,Phoenix-Charlotte,Phoenix,Charlotte,36.91038888888889,3371.132,404.53584,168.5566,-112.074141,33.4484367,-80.8430827,35.2272086
road,Indianapolis-Phoenix,Indianapolis,Phoenix,30.465,2737.4667000000004,328.496004,136.87333500000003,-86.1583502,39.7683331,-112.074141,33.4484367
road,Phoenix-Indianapolis,Phoenix,Indianapolis,30.465,2737.4667000000004,328.496004,136.87333500000003,-112.074141,33.4484367,-86.1583502,39.7683331
road,Seattle-Phoenix,Seattle,Phoenix,26.478,2240.4185,268.85022000000004,112.02092500000002,-122.330062,47.6038321,-112.074141,33.4484367
road,Phoenix-Seattle,Phoenix,Seattle,26.478,2240.4185,268.85022000000004,112.02092500000002,-112.074141,33.4484367,-122.330062,47.6038321
road,Boston-Phoenix,Boston,Phoenix,48.16127777777778,4244.3421,509.32105199999995,212.217105,-71.060511,42.3554334,-112.074141,33.4484367
road,Phoenix-Boston,Phoenix,Boston,48.16127777777778,4244.3421,509.32105199999995,212.217105,-112.074141,33.4484367,-71.060511,42.3554334
road,Nashville-Phoenix,Nashville,Phoenix,29.02738888888889,2636.9768,316.437216,131.84884,-86.7742984,36.1622767,-112.074141,33.4484367
road,Phoenix-Nashville,Phoenix,Nashville,29.02738888888889,2636.9768,316.437216,131.84884,-112.074141,33.4484367,-86.7742984,36.1622767
road,Portland-Phoenix,Portland,Phoenix,24.759777777777774,2144.6613,257.359356,107.23306500000001,-122.674194,45.5202471,-112.074141,33.4484367
road,Phoenix-Portland,Phoenix,Portland,24.759777777777774,2144.6613,257.359356,107.23306500000001,-112.074141,33.4484367,-122.674194,45.5202471
road,Baltimore-Phoenix,Baltimore,Phoenix,41.447472222222224,3666.0467,439.92560399999996,183.302335,-76.610759,39.2908816,-112.074141,33.4484367
road,Phoenix-Baltimore,Phoenix,Baltimore,41.447472222222224,3666.0467,439.92560399999996,183.302335,-112.074141,33.4484367,-76.610759,39.2908816
road,Louisville-Phoenix,Louisville,Phoenix,30.71013888888889,2765.7674,331.892088,138.28837000000001,-85.759407,38.2542376,-112.074141,33.4484367
road,Phoenix-Louisville,Phoenix,Louisville,30.71013888888889,2765.7674,331.892088,138.28837000000001,-112.074141,33.4484367,-85.759407,38.2542376
road,San Diego-Phoenix,San Diego,Phoenix,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-117.162772,32.7174202,-112.074141,33.4484367
road,Phoenix-San Diego,Phoenix,San Diego,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-112.074141,33.4484367,-117.162772,32.7174202
road,Austin-Phoenix,Austin,Phoenix,17.16863888888889,1619.9175,194.3901,80.99587500000001,-97.7436995,30.2711286,-112.074141,33.4484367
road,Phoenix-Austin,Phoenix,Austin,17.16863888888889,1619.9175,194.3901,80.99587500000001,-112.074141,33.4484367,-97.7436995,30.2711286
road,Charlotte-Phoenix,Charlotte,Phoenix,36.91038888888889,3371.132,404.53584,168.5566,-80.8430827,35.2272086,-112.074141,33.4484367
road,Phoenix-Charlotte,Phoenix,Charlotte,36.91038888888889,3371.132,404.53584,168.5566,-112.074141,33.4484367,-80.8430827,35.2272086
road,Indianapolis-Phoenix,Indianapolis,Phoenix,30.465,2737.4667000000004,328.496004,136.87333500000003,-86.1583502,39.7683331,-112.074141,33.4484367
road,Phoenix-Indianapolis,Phoenix,Indianapolis,30.465,2737.4667000000004,328.496004,136.87333500000003,-112.074141,33.4484367,-86.1583502,39.7683331
road,Seattle-Phoenix,Seattle,Phoenix,26.478,2240.4185,268.85022000000004,112.02092500000002,-122.330062,47.6038321,-112.074141,33.4484367
road,Phoenix-Seattle,Phoenix,Seattle,26.478,2240.4185,268.85022000000004,112.02092500000002,-112.074141,33.4484367,-122.330062,47.6038321
road,Boston-Phoenix,Boston,Phoenix,48.16127777777778,4244.3421,509.32105199999995,212.217105,-71.060511,42.3554334,-112.074141,33.4484367
road,Phoenix-Boston,Phoenix,Boston,48.16127777777778,4244.3421,509.32105199999995,212.217105,-112.074141,33.4484367,-71.060511,42.3554334
road,Nashville-Phoenix,Nashville,Phoenix,29.02738888888889,2636.9768,316.437216,131.84884,-86.7742984,36.1622767,-112.074141,33.4484367
road,Phoenix-Nashville,Phoenix,Nashville,29.02738888888889,2636.9768,316.437216,131.84884,-112.074141,33.4484367,-86.7742984,36.1622767
road,Portland-Phoenix,Portland,Phoenix,24.759777777777774,2144.6613,257.359356,107.23306500000001,-122.674194,45.5202471,-112.074141,33.4484367
road,Phoenix-Portland,Phoenix,Portland,24.759777777777774,2144.6613,257.359356,107.23306500000001,-112.074141,33.4484367,-122.674194,45.5202471
road,Baltimore-Phoenix,Baltimore,Phoenix,41.447472222222224,3666.0467,439.92560399999996,183.302335,-76.610759,39.2908816,-112.074141,33.4484367
road,Phoenix-Baltimore,Phoenix,Baltimore,41.447472222222224,3666.0467,439.92560399999996,183.302335,-112.074141,33.4484367,-76.610759,39.2908816
road,Louisville-Phoenix,Louisville,Phoenix,30.71013888888889,2765.7674,331.892088,138.28837000000001,-85.759407,38.2542376,-112.074141,33.4484367
road,Phoenix-Louisville,Phoenix,Louisville,30.71013888888889,2765.7674,331.892088,138.28837000000001,-112.074141,33.4484367,-85.759407,38.2542376
road,San Diego-Phoenix,San Diego,Phoenix,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-117.162772,32.7174202,-112.074141,33.4484367
road,Phoenix-San Diego,Phoenix,San Diego,6.597027777777778,572.0509000000001,68.64610800000001,28.602545000000006,-112.074141,33.4484367,-117.162772,32.7174202
road,Austin-Phoenix,Austin,Phoenix,17.16863888888889,1619.9175,194.3901,80.99587500000001,-97.7436995,30.2711286,-112.074141,33.4484367
road,Phoenix-Austin,Phoenix,Austin,17.16863888888889,1619.9175,194.3901,80.99587500000001,-112.074141,33.4484367,-97.7436995,30.2711286
road,Charlotte-Phoenix,Charlotte,Phoenix,36.91038888888889,3371.132,404.53584,168.5566,-80.8430827,35.2272086,-112.074141,33.4484367
